,AuthorName,Comment
10718,Naughty gamer experimentor,"Chris suits in every role
But please this time go for the head!!"
10719,Naughty gamer experimentor,Tnx
10720,Jordan KP,Naughty gamer experimentor losmovies.pro
10721,Naughty gamer experimentor,Please give me link to download it pleaseee!!!🤗
10722,Jordan KP,Naughty gamer experimentor not for me. 😎
10723,Naughty gamer experimentor,Bro it is releaseing tommorow
10724,Min Tae,OH MY GOD THOR AND VALKYRIE WHAT ARE YOU DOING HERE?! DID YOU DEFEAT THANOS IN ENDGAME?? *tell meeee* (in Loki’s voice)
10725,DanglingHammer,Antman did😃
10726,Costica Marius,Oh so Thor was here in all those 5 years...ok
10727,YepX,Normally hate reboots but this looks fun
10728,Papp Kristof,so it's Mission Impossible 5 with aliens
10729,Michael Judge,Didn't know Valkyrie is a man
10730,Bro Chai,Men In Thor 🤭
10731,Bowie Marshall,Iron man dies when he uses the infinity gauntlet to kill thanos
10732,S K Das,Asgardians have left the chat
10733,Anisa Alifia,"Honestly, the cuteness little one who wear red suit is mostly like groot, his eyes thoo 😂"
10734,Jonathan Ng,When Thor don’t want to be a king and choose to join the guardians of the galaxy to fight skrulls
10735,Harris global,What an amazing role Kumail Nanjiani has
10736,Tactix88,Feminist strike again to ruin another franchise
10737,Ramesh R,They would rather need to start women in black (WIB) instead messing up with MIB.  I don't know what is really the makers of this film wanted!!!???
10738,Kavin Udayasuryan,"It is more like a marvel movie , tbh"
10739,Ashton Heng,"fast and furious present: hobbs and shaw, man in black present: thor and valkyrie 😂😂😂"
10740,Mohd Faizal,"Oitye u missed out
Black Super MaN"
10741,Stone S,Didn't this already come out.
10742,Noel Joel,Their biggest enemy are the skrull..huh..
10743,Andre Doletti,Most definitely gotta see this
10744,It's Britney Biatch!,Idk i prefer the classic one tbh
10745,SYB,This is going to suck.
10746,Lie Stefanus90,thor and valkriye found now job after endgame war
10747,MAX FILMS,Yep
10748,vishal nayi,Tremendously superb
10749,Shankar Gladi,Hollywood sucks now a days
10750,T4FSEER 93,"MEN in Black Key word ""MEN"""
10751,Adyasha Tudu,Both Thor Ragnarok and MIB international proved that Chris is a feminist 😂😂
10752,Expand Dong,@Adyasha Tudu but he didnt know they were all female.
10753,Adyasha Tudu,"@Expand Dong Remember the scene where Thor talks to Valkyrie, he said that when he was a child he also wanted to be a Valkyrie and supported her"
10754,Expand Dong,How did thor ragnarok?
10755,Alida NN,It is filmed like wakanda
10756,Nabil Rosly,So thor is go workout and get their body back after being fat😂
10757,William Parry,lol yeh I didn’t expect that!
10758,Cyber Life,Nabil Rosly no spoiler please
10759,Keerthi Raajan,Dude come on bro
10760,a a,Nabil Rosly too soon
10761,Al Baithar Muhammad,She is the queen 😆
10762,bkt9200,"Nobody :
Sony : HERE COME THE MEN IN BLACK !!!!!!!!!"
10763,a&v,"Most Power full weapon in the galaxy 
And couldn't destroy solar system
🤔🤔🤔"
10764,AnythingUwant,@pink_gooseberry then u need infinity stones😂😂😂
10765,pink_gooseberry,ikr can it even wipe out 50% of the population
10766,Liam Barrett,I think it was on the lowest setting. Think how quiet your speaker can get vs how loud it can get. That was mousey squeeky quiet setting.
10767,Nic Cage the Dick Mage,even a weeny little anti-matter bomb would have cracked the planet like an egg
10768,ANGA TV,Well we can have just one habitable planet in a galaxy so..
10769,Logia,Ohhhh thats hot¬!
10770,I curse SHINA CHINK SCUM DEAD,Mic
10771,Cameron Turner,Why is Hollywood giving women men’s parts like just make a film with women as the role in the first place don’t change it 4 films in because you want to seem as though your pro-feminist for clouuuuuttttt
10772,DK Gaming,No Will Smith. No MIB 😤😤
10773,PikaPool,Everyone this days film desert 🤫
10774,NETVO TV,"Too much spoilers, stop giving contents out before the movie release!"
10775,55alessio,Thor post workout
10776,Jack Attack,This reminds me of the 2016 remake of Ghostbusters. It just falls flat.
10777,vishwa mania,MIB OLD IS THE BEST.....
10778,Anukant Chauhan,"Okay..
THIS LOOKS PROMISING"
10779,amod patel,"WTF is wrong with them, its MEN in black now WOMEN in black, they should have not cast a woman as a lead."
10780,Mac,"LOL the same people complaining about a women being in an MIB agent probably don't bat an eye at a women being a member of the X-men. Plus, yeah there have been women MIB agents before, so complaining about it as if it's something out the ordinary is laughable."
10781,ultrapersonthing,"You watched the first movie, yes? Where Will Smith gets a woman as his new partner at the end? And the third? With Emma Thompson on charge of the whole operation?"
10782,zeeshan Faraz,i am not watching
10783,TheWiggles,Will Smith should have been in this
10784,Victor Rivera,YYYYYAAAAWWWWNNN....
10785,murugan murugan,will smith not the MIB so its waste
10786,soundthatblinding guy,I wish u said no no no before 🤣
10787,Retro Rikardo,Can't you guys just create a NEW IPs instead of banking on nostalgia? Can't wait for black gay woman Freddie Kruger
10788,Stan Zibritovsky,This is so culturally inappropriate!! How dare they continue to call themselves Men in Black when clearly there's a woman here now!! This movie needs to be rebranded immediately. Like Persons in Black maybe? Come on sjws of the world unites against the patriarchy!!
10789,Eddy Green,Cringe
10790,PhilipDobge,"I don't know if it's just me but it's getting annoying that they put 3-4 mcu charactera star in the same movies on purpuse
Edit: I love the mcu don't get me wrong"
10791,PhilipDobge,@Wow Wuw i don't mean i don't like the characters I love the mcu honestly it's just that they make it so obvious they are trying to get marvel fans to watch non marvel movies
10792,Wow Wuw,Nahh..just u
10793,Man Of Beard,"Alien. I’m going to kill you..


Chris. Hammerrrrrrrr 😂"
10794,lucky tedja,Thor x Valkyrie means Asgardian of The Galaxy
10795,m1ghtysauc3,Another shitty knockoff no one asked for.
10796,llgx 10,"if you see my comment, stop reading now. Comments of others have  EndGame spoiler."
10797,LuOr Ca,I thought thor joined the guardians of the galaxy? How did this asguardians became MiB?
10798,WyTeB0i707,Opp sorry Sony you just killed men in black...stop trying. And get to work on venom.
10799,Action Speaks Louder Than Words,"""Men"" in black"
10800,Niko Pekkola,1:54 is that oppressor mk2? lol
10801,Dario,i forgot that this movie exist.
10802,Lavesh Kaushik,What else do you want..!!!
10803,Red5Wormy,Surprised it wasn't called women in black.
10804,guri Singh,"Wait what Thor and  valkyrie is doing here,🤔🤔🤔🤔🤔🤔ok they are actors"
10805,Julio Montero,"If this would of dropped the same time as END GAME, AVENGERS WOULD BE F'ED 😂"
10806,kacchan k,"How is it ""men in black"" if there's a woman? Makes NO FUCKING SENSE"
10807,WEHANDLEIT,Will Smith is missing here!!
10808,VMiXEZ,Thor and Valkyrie are taking vacation away from Asgard. Trust me I know it.
10809,Morta L,@conorc Quinn4905 Asgard is not a place it's people.....(Asgard is in Earth now)
10810,conorc Quinn4905,They will be taking a break for a while then cus asgard was destroyed
10811,Kenia Shaulisafa,THOR AND VALKYRIE!!!!!!
10812,mbort,1:05 ЧТО ОН ГОВОРИТ!??? ОН РУССКИЙ???
10813,Thepharcyde4ever,Les Twins!
10814,Thug Life,men and women in black😄😄
10815,dil singh,Spider-Man lost his strings
10816,Top heroines oops moments,Wow Thor is back
10817,Lame,why a girl in men in black >.< .. it should've been chris and will .. but  not a girl >.<
10818,Iqbal Khaleed,"So, they moved to another universe after asgard got destroyed"
10819,A Tem,Avengers in Black
10820,19buseye71,I get wanting a female whether white or black but MIB without Will Smith is like Beverly Hills Cop without Eddie Murphy.
10821,Ace Zero,The film about mib but the comment about Avenger majority 😂
10822,Nishant Tyagi,Without J and K!!! Mib is bullshit
10823,Matt Teaser,(Men) and they have to put a women in it ? Equality is messed up even when it's not needed
10824,Athan Reynoso,I wonder how many old movies and shows are going to get redone before people are tired of it. I know I am
10825,Chester Abellera,"Yep, Tessa Thompson still has the acting range of an eggplant."
10826,Cosmin Sebastian,"Of course there has to be some Social Justice, no?"
10827,Atharva Haldankar,Will smith cameo!!!!!!
10828,PixelToaster •._.•,Marvel men in black looks amazing !!!!
10829,thalesmvp,more like MAWIB then....
10830,mamba noir,🤣🤣🤣🤣
10831,ltkirov,theres so much wrong with this movie Im not even going to think about seeing it. its like one big remake cashgrab and its going to be a really awful movie
10832,Beggetti Gm,Lol at first i thought this was a troll
10833,Vita Violetta P,Valkyrie 😊
10834,OR eO,Dejá vú is a METAL GEAR SOLID REFERENCE
10835,john hand,Valkyrie & Thor in a suit
10836,Luis Ramirez,Wait that's not a man
10837,Francesco Salvadori,Why is it called men in black if there is a women? Wish we could go back to 2010....
10838,The One,The men and woman in black 👍
10839,shazmin haziq,Thor really move on from end game
10840,Sonu Babu,Osm
10841,Ahad Alpha,"This is Men In Black, not one man and one Woman in black."
10842,Mac,"The end of the first movie, Cartoon series and 3rd movie had women agents. This isn't anything new."
10843,Nikhil Khatwani,and so thor is alive
10844,AsphyxiaMusic,Thor 2 every one
10845,Si OcongTOXIC,Thoor
10846,Ardiansxa 02,Thor and valkrye in another verse
10847,SMO A,kumail's voice from 100000000 miles away
10848,Hansy,"I that girl always casted because of ""diversity""? It sure feels like that-"
10849,John Havard,"Hey, nothing against these two great actors, but a fourth movie. Seems Hollywood can't come up with anything new. Change the leads, but same movies over and over."
10850,Trailer Series,"wow MIB
-wait its not MIB anymore 🤔🤔"
10851,Rosheen Domingo,Men in Asgard
10852,Thanos,I'm a Thor and Valkyrie fan BUT this movie looks AWFUL definitely a downgrade from the original. Too much CGI can really REALLY hurt a movie ESPECIALLY bad CGI👎
10853,Zanle Official,U can't  not put will smith in this ..........but the didn't..Wwhyyyyy
10854,TerryMcGinnis,So basically this is a reboot of the original film just in London Now with Thor and Valkery?!
10855,Mahogany boy,Its still the same universe from the three movies
10856,Pic _Panther_,This might be renamed as T 4......thor and Valkyrie against the skrulls
10857,Muhammad Fardin,"WE ARE MEN IN BLACK
FEMINIST: AHAM AHAM
MEN AND WOMEN IN BLACK"
10858,MR. LMNTRIX,pause 0:23. reminds me of the old days. like if u got it
10859,European Mapper,I thought Thor is fat with Guardians of Galaxy and I thought Valkyrie is new king of Asperger's card.
10860,Zebu 01,And this take place 100 year later😂
10861,ramla baaziz,Wait whatttt
10862,devilmaycry7760,Men and Women in Black.
10863,Dans les bras de Morphée,Why are they showing all funny bits in the trailer... So annoying
10864,kostaVHjovanovic,": ""but its called MEN in black""
   ""So we put a woman in""
   "".....revolutionary""
   ""...ground-breaking"""
10865,Eat Shit,Who cares
10866,kostaVHjovanovic,"@Zebu 01 whatever, i do what i want (cartmans voice)"
10867,Zebu 01,Respect whsmen m'kay?
10868,some random,"Unlike Ghostbusters 2016, this is something I can get behind."
10869,Voldemort,It's people in black.
10870,Trailer Series,"Chris make it so cool... 
Marvel actors and entering MIB 
THOR AND VALCURY"
10871,Marty Schriver,Who is Valcury? That chick played Valkyrie
10872,Justin Arellano,Can i get likes for my birthday
10873,Zuhri69,Chick is rather irritating but will reserve judgement before viewing.
10874,Umit Altay,"First starwars now this, feminists taking over Hollywood.."
10875,MBF vlogs,"Without Will Smith, same shitty movie of nowadays!"
10876,mr007ocean,Looks fun. Hope they can pull it off
10877,adolfus skooby,I hate when pilitics wants to destroy classic movietitles
10878,shinil85,토르 와 발키리 ㅋㅋㅋㅋㅋㅋㅋ
10879,Tyler Durden,That's gay
10880,Amigo Rigo,So glad they didn't call this Women In Black
10881,Alin Poroh,It’s men in black and they added a woman ????? WTF??? They just ruined the series
10882,XenoPred35or Gaming,When the heck After The Endgame Thor and Valkyrie get in the Men In Black?
10883,Ail'enduril,please make it WOKE
10884,xsoporn,Ok you turned MIB into a kind of Superhero Movie. I‘m out
10885,peace on Earth let's all get along,I wish that has Will Smith and the other guy I forgot his name in this movie
10886,Why youtube why,Omg there’s a man in men in black that’s so sexist why aren’t there all women?!
10887,Akhnaf Haqqani,I Really hated  mini trailer because it's spoil the actual trailer
10888,Bobby Grewal,Man woman black 😁
10889,general cupcakes,OMG it was just some movie magic thor isnt really fat
10890,abhijeet pradhan,whats the track ?
10891,I am Groot,They are Alien too from Asgard
10892,Kingstone Studios,Looks trash
10893,Alex,This is 2016 Ghostbusters level bullshit
10894,Sam MacLean,This movie looks ok I'm really hype to see Thor and Valkyrie team up again
10895,Declan Foley,Liam Neeson is a man in black hunting  black guys...
10896,Wing-it Homestead,Stop with the women in lead rolls . Rip all movies for now on . Fake wood is killing anything they had left
10897,Jose Lanister,I viewed all the movie in the trailer
10898,UnKnOwN gUy,Thir use your storm breaker
10899,Paul Underwood,"Hollywood is a bunch of bulshit they can't even make new movies anymore they got to repeat the old ones make old movies new like they think it works
.... never be a better team than Will Smith and Tommy Lee Jones"
10900,Stephen Paxman,might be good with out the idiot bloke in it
10901,chøke,I see Thor's finally hit the gym
10902,Wing-it Homestead,So I guess no one has any new ideas for movies ? WTF fake wood
10903,Christian Michael Sarong,"1:30 to those who've already seen end game, you now what that means haha"
10904,uday chauhan,Why the real MIB  hero in the movie 🤔
10905,Oki Prasetyo,Thor and falkry 😅
10906,Omkar Nadkarni,BRING ME THANOS!!
10907,Lance Alemao,About time
10908,Msm Klang,I'm extited for this wawoooo😊😀😎
10909,Ama Bos,Another useless remake.
10910,J T,She isn't black enough
10911,Jessica Meyer,"I miss leading men in movies looking strong and confident, now they look goofy and weak and I like Chris Hemsworth. Just feels weird.. Lets not even get into ghost busters and that oceans rip off"
10912,SadMax,"ARE U A QUEEN???

INDEED SHE IS
how true is this"
10913,TheBassistant,김보천 WE WUZ QUEENS N SHIEEEEE
10914,McK USA,"This looks terrible. 🤣 And what's the deal with this girl? She's in EVERYTHING. Is there a ""one black female at a time only"" quota in Hollywood?"
10915,RAHUL BOROLE,Who is missing Will Smith?
10916,GAOL Channel,Marvel everywhere 😂
10917,doo doo,1:28 End Game Spolier Alert
10918,Brenton Goldfinch-Belbin,Lol. What is this MIB? It does not even make sense to the name. They have no imagination so now they reboot encompassing gender swapping.
10919,Brenton Goldfinch-Belbin,@L How you derive all that information from someone having a contrary opinion speaks volumes about you. Grow up looser.
10920,L,"@Brenton Goldfinch-Belbin didn't trigger me, don't care. I think virgin neckbeards like yourselves are hilarious lmao. Have a great miserable life bud."
10921,Brenton Goldfinch-Belbin,"@L I'm sorry I triggered you mate 😂🤣

Got a issue with me I would be happy to talk over Messenger or elsewhere. Don't worry. I'm sure you will greatly enjoy the movie as it is targeted towards SJWs such as yourself."
10922,L,@Brenton Goldfinch-Belbin you know it's really obvious when you like your own comment xD also it's sad you haven't seen that vine bc it's you! Look it up
10923,Brenton Goldfinch-Belbin,@L I guess that is somewhat more imaginative then a mom joke. I still think you are 12 though.
10924,db Burns187,This movie has been left wing cucked..shame
10925,jamess abraham,Thor and Valkyrie eloped away and found new  jobs in  MIB
10926,fallout prop guy,Oof i like both of theys actors im game
10927,The Real Reason,not the same without will smith
10928,Koala YT,"1:30 yes, she new queen of asgard 😂"
10929,Loen Ho,Asgardians of the Galaxy
10930,vinodztube,What are these Asgardians doing here?
10931,Alejandro García López,Men...  In black...?  Men... In black? Can't understand why something feels wrong with this trailer...  Mmm..
10932,Mr H,What is Thor and Valkyrie doing here?
10933,Nick Gur,So this is another Ghostbusters.....
10934,lomich,"Очередное дерьмо, простите фанаты..."
10935,Green House,What??? Black in White
10936,cs4life25yt,Again a woman remake? Still didnt learn from new ghostbusters or brie larson huh? Il pass.
10937,Apoorv Dwivedi,somebody please tell me the song name in this trailer 😕😕😕
10938,Hardcore Bunny,If Sony is making this I predict a very politically left leaning film.
10939,Adam Mannix,Men and women in black. Congrats yall just killed another classic
10940,plnkfloydian,Won’t be watching this I hate when company’s cater to what’s “trending”. ITS CALLED MEN IN BLACK NOT MAN AND WOMAN IN BLACK. Next.
10941,Sangit Assam,So is there any Stan Lee cameo ??
10942,Maitreyi More,Need Will Smith af
10943,{Alpha},*I still liked the original*
10944,{Alpha},*I still liked the original*
10945,Ibrahim Fattah,Thor : i like this one
10946,final game,Thor!!!!
10947,NoCopyrightSoundtrack ',LIT 🔥🔥🔥
10948,Himanshu meel,Am I the only one who is missing Smith...
10949,Aneen Haq,Thor's new plan after dealing with thanos
10950,Himanshu meel,Am I the only one who is missing Smith...
10951,Medvedec,At least I'm not angry as I was with the new Hellboy movie.
10952,Muhammad Rizqi PS,After Ragnarok they're being good couple in this movies 😹
10953,hironori M,Agent H is very cool !! I like him.:D
10954,Dread Boi,It's not too late to stop
10955,VaDeReK CSGO,So thats what the god of hammers is doing after endgame
10956,"VGaming - Android, iOS and PC games",Thank God it didn't started with hovering over some random sea and buildings scene...
10957,kk Krish,"If its MEN in black, why is there a woman as an agent?"
10958,kk Krish,I remembered a dialogue from deadpool 2 when you mentioned x-men :: the name x-men is sexist coz women also r there and we call ourselves the x-force
10959,Mac,"Men in black is a name. It's only called that because the original 5 agents were men. That does not mean only men can be agents. The first film had a woman agent as a new recruit at the end, and the third film had one as the new head of New York's MIB. Also, X-men have women mutants too."
10960,zeba ashraf,Earth 6789
10961,KingCodester111,So weird seeing Chris like this after endgame
10962,Ganesh Subramanya,"I really miss will smith anyone else who feels like me
.
.
 ⏬"
10963,STRIX dances,Men in Black what women doing here
10964,Adnan Taiyeb,Thor and valkeri
10965,Box PC Gamer,hmmm .. wheres will smith ??
10966,Sarwandi Eka Sarbini,"Thor and Valkyrie, when the last discussion in EndGame. ""No purpose"", and they become ""Crazy"" here. :D

After moving from Asgard to attack the other villain in other planets on Earth."
10967,Jitu pathak,King and queen of new asgard
10968,Nutella J,Thor ragnorok 2
10969,Jinryu,Basically thor and valkyrie fighting some skrulls.
10970,François Lemaitre,MIB: Ragnarok
10971,Zaki Ahmad,I think the cars in MIB is being imported from India😂😂😂 Hit like if you got it..👍
10972,XM,That girl is now the queen of Asgard in the new endgame movie and Thor joins the guardians of the galaxy
10973,Bunny .B,are u a queen must be a spoiler for avengers fan :P loll
10974,Tynchy Temper,Not in this country or his country either
10975,inker man,HE LOST WEIGHTTTT!!!! mustve eaten the salad
10976,Scott Johnson,I thought it was call (men in black)
10977,ilsafausts,"Came here for Rebecca Ferguson and 0.2 seconds is all I get? Sigh. (Movie still looks fun, though!)"
10978,Elfoscuro,"Without Jones, Smith and the original director this movie it's nothing.

Spin-offmaniac"
10979,Mrgokujr2018,This looks pretty good actually.
10980,Noel Samuel,Is this a joke???!!!
10981,karate chop,thor x valkyrie x quigon jin x skrulls= MIB INTERNATIONAL
10982,Mark Galassini,No not in this country. Good line
10983,Trash Gaming,He never fails in protecting the UNIVERSE.
10984,Ethan Smith,That looks like a girl
10985,Toha The Gamer,Посмотрим какой будет фильм по сравнению со старыми люди в чёрном.
10986,cxsian,whyy a girl jesuss i cant take her seriously .
10987,Serbian Bosnian,Wasted comics atmosphere
10988,varment01,This looks terrible.
10989,Ahmed alamdar,Thor and valkrie
10990,mistertoet kroenchot,MIB without Will Smith is not MIB
10991,Øatmeal Raisin,"No will Smith WHAT!?!!! He was like the soil of the original movies and he chooses Aladdin and not this, bruh"
10992,Nigz Clusive,Thor and Valkyrie?!!!
10993,Rupali Gupta,I had no idea the kingsman 3 trailer was out. This is what happened when eggsy became arthur?
10994,redfoe77,"Then they should change the title/brand? Because i could've sworn it's called ""MEN in black"". 

But to be pc they added a woman too...oookaaay"
10995,frankthespank,Yeah a fucking girl as a MAN In Black.... makes total sense. Hollywood is such a joke now.
10996,hendrix,Too bad they couldn't get a good cast. This would've been good
10997,Rahul Remesan,Michael jackson is alive
10998,Shaggy's Sensei,New Thor 4 trailer looks great...
10999,la frite froide,This is men in black or thor ragnarok ?
11000,Manish Sharma,Loved it man incredible waiting for ya
11001,MI N,Please don't make a trash movie with those good actors. Sony
11002,Max Drummer,MAN and WOMAN BLACK ))) PERFECT LEADER !! ) AHAHAHAHHAAH
11003,Andrew Garfield,"So after Thor started staying on earth, he joined MIB"
11004,Reach Eng,Yep that's right
11005,US Gaming,Missing the black guy
11006,william waters,In this day and age wouldn’t surprise me if people try to protest to change the title of the film to “Person In Black”
11007,bobthebuzztard,MEN in Black... I'm triggered
11008,Chris Vinblex,Ra's al Ghul
11009,Etceteras,Valkyre and thor. After endgame is over on their new job
11010,George Newton,I’d hate to be right but this film is gonna tank at the box office 🤷🏻‍♂️
11011,Norman Ingemann,George Newton It looks boring!
11012,Sơn Đinh,Valkyrie and The King
11013,Rhys Bower,Liam Neeson been walking the streets looking for the men in black
11014,Chief Ebans,Sony are the king of flops!
11015,Akash Sharma,Oh my god.... ☺☺ I'm a very big fan of Chris hemswarth
11016,Peter Elemi-Ecoma,Getting major Kingsmen vibes from this
11017,Waffles DeAffles,0:22 tht Agent J and K right? Or am I seeing things?
11018,Zainab Majothi,Alien too late already pledged loyalty I wish you would have said no no no before. hahahahah
11019,Rendi Dwiputra,Mjolnir menit 2:35
11020,Jerry Gilbert,Idc what people say if this MIB spin-off is bad or whatever. Imma watch it coz it's MIB!
11021,Alpha Sinner,There are no dark skin black girls in the main cast so it should be worth paying for. The director understands dark black females are ugly and not important
11022,Luke,Feels weird that thor is holding a gun
11023,Anindya Das Adhikary,Thor and Valkyrie 😍😍😍
11024,That Curious Human,The comment section is filled with Thor and valkyrie
11025,Viodark Films,Pass.
11026,LeadFarmer11728,I love the 👍🏻 call back from Ragnarok 😂
11027,More Rational Than You,"""Your Majesty""



Some people will get it."
11028,Crim,If you watch Endgame
11029,Alexandra Lupascu,Men in black without Will Smith?!
11030,Timii,Man I don’t know if this will bang the same way it did with Will Smith
11031,Mamad Nobari,"Sony back at it again with ""whole movie showing"" trailers."
11032,LonelyJynx,"No gender politics... Check
No Brie Larson... Check
No all female reboot... Check
No demonizing men... Check
No making the guys incompetent to make the female look better via comparison... Check

Ok looks good."
11033,Jlinus,Tessa and Chris is a perfect team up I love them so much
11034,abdullah er,R. I. P men in black
11035,Pewang Yolmo,"Its like every secrent agent movie with an alien skin on it.
Cool recruiting scene. 
Training.
Cool mission sequences.
Someone will betray them
Revenge.
Save the world.
End"
11036,bb8dev,ghostbusters 2016 part2?
11037,uday aggarwal,Where's my Aladdin
11038,Ashwini kumar mahli,Awesome trailer....waiting to watch the mvi
11039,XFury // I make content,who knew that 2/3 of the revengers are in MIB
11040,Fares yones,It is gonna be shity
11041,Desi boyz,They shot some part of movie in India but their is not a single frame showing India in the trailer.
11042,Timii,I mean she got lucky by not getting her memory erased not really much skill
11043,Ash Ketchum1318,What is thor and valkyrie doing here? They should go back with the avengers and help them defeat thanos
11044,Bellicoso,THerE is nO diVeRs RoLe
11045,Brad,"Feminist: we need females in male movies. 
Men in black: hold my dildo"
11046,shubham rathore,Boyeaaaaaaaah
11047,Chief Bill,Oh please make this work
11048,Gangsta 47,A reference of Thor Ragnarok would be just perfect
11049,Stale Piece of Bread,@Kez Thor fagnarok? More like bore ragnarok
11050,Kez,@Stale Piece of Bread Thor Fagnarok
11051,Stale Piece of Bread,@Kez k
11052,Kez,@Bobby Murphy ok Knobby Murphy
11053,Kez,"@Schwanzus Longus your name is weird, get a better name"
11054,ivan bartulovic,FLOP.
11055,Joseph Moore,"""Men and Women in black"" - I can't decide if it's serious or a piss take.... I really hope it's a piss take"
11056,Hex Hub Music,1:02 That flinch made me flinch...
11057,Brody ZX,Odin Must be proud of this
11058,EasyLT,Sooo.   She's a man?
11059,Najmie MSA,Wtf!Thor & Valkrie
11060,Сабир Кадыров,"Song, please"
11061,Notorious1503,Love chris Hemsworth but i feel like he just plays himself in all movies
11062,Rohan Ankalkote,"Sony would be really frustrated seeing THOR word everywhere in comments.....
.
.
And will smith has time to do alladin and not for this epic movie......
😆"
11063,Këż EXcømmunicað,I hope there would be a cameo of Will Smith 🤩
11064,BrieIhateMenLarson,There will be
11065,Shaik Sameer,Missing will Smith 😭
11066,Shakil Hossain,why isn't it on trending yet?
11067,Skye Optana,*Change the character and ill change my rating lol*
11068,Defect 78,Why !?!
11069,Lottey Roa,I miss her walk from Thor: Ragnarok ...
11070,rajat kumar,And i miss the way she drunk.
11071,Mr G Mesh,@Doge Oper8or haha nah
11072,HUS DAMAN,@Charlie Marie  hehe thanks god i finish watching end game earlier before seeing this
11073,Ikram Kontol52,Your majesty
11074,Screaming Shirly,@Charlie Marie you should really concider not living
11075,Laxus Dreyer,ragnarok ehh
11076,Austin Tarzia,Where is will Smith....
11077,Rocky flyfly,Comments are more interesting than the trailer...
11078,GREAT MERAZ,Thik hai 🤧 GREAT 🥰
11079,DIVYANSH SHARMA,धांसू 😎😎😎
11080,Deep singh,Awesome
11081,BurntMuffin,Only missing Tom Hiddleston now
11082,GamingJar,MIB? More like BORE RAGNAROK
11083,Rizwan Ashad,Going to be lots of fun
11084,R3tt4 -_-,Asguardian of the galaxy
11085,Hirmuinen,Do not spoil Endgame
11086,Subha Sanket,"I love this guy. I mean he always exceeds the expectation. 

Chris hemsworth,  love from India."
11087,Private Pug 1997,Please for the love of God stop making these crappy movies just to sell toys ..its no longer about the fans anymore when it comes to movies these days. They only care about how to make a profit plus what is with all the female empowerment. And the gay crap ... We get it already stop ruining franchises just to push a agenda and stop changing genders of characters that have been around for years .. And stop hiring crappy actors
11088,Revelation 578,Remake this clip with the faces of Candace owens...charlie...and the rest! With thd villians...cummings...nadler...pelosi...hillary....
11089,Marcial Dino,So where is will Smith gonna show up?
11090,Comedy Teen,Perfectly done
11091,Rawfire,Black woman in black?
11092,Miguel Carvalho,*cracks a cold one* *takes a sip*  they just don't make'em like they used to
11093,Liam Byrne,She's not black enough.
11094,ᏦᎾᏒb 16,After Thor retirement..
11095,Atakan Kan,Without Will no thanks!!
11096,hugo,2:05 gotta love Tessa facial expressions! Amazing duo tho!
11097,Nostrodumbass 8,"Nice Easter egg where they time travel and aparently she blows the grand canyon into the ground??? This movie is, not looks, is cringe AF."
11098,miracle manoj kumar,"Men in black
But there is a woman"
11099,Mick Dundee,Stop claiming copyright on YouTube channels that make genuine content Sony
11100,Mick Dundee,"@ciro enrique You sound like a sony fan-boy. Strange fetish, but you do you. 😊"
11101,ciro enrique,They are so genuine that they use other peoples music.
11102,smartawan,Missing Sir Will Smith .. :(
11103,Nuno Machado,Can someone just please say what song is this? So many comments about MCU and no-one is acknowledging the fun they're having in this movie...
11104,Gaurav Padawe,"Will Smith : I'm a Gemini Man, I'm MIB agent too.

Chris : Hold on...."
11105,Dark Lord,Chris: I'm an avenger and also MIB agent too.
11106,Daneal Zuhair,thor 3: finding mjolnir
11107,Sudipta Halder,Hey our Thor❤❤
11108,Alfred Christanto,Is this going to be like Hellboy?
11109,Diof Akbar,wtf ? no will smith? come on!  the MIB icon is him with his funny acts
11110,neuroscram,Have Hollywood run out of new ideas then?
11111,RM J,Nah they just like keeping things in a state of mediocrity.
11112,Ramesh Prabhu,"Much better & smartly cut trailer...
#Empowermentdialogue is C.O.O.L!!"
11113,Dredgen One,The little guy is the reason I'll be going to watch this.
11114,Rohan Patgiri 19,Thor 4
11115,Osheen Acharya,"MIB is incomplete without Agent J (Will Smith) and  Agent K (Tommy Lee Jones) , still its good to see Chris though ❤️"
11116,Agung Prastyo,Thor and valkre after avengers end game
11117,Ibri Obeyah,This will not make as much they're expecting.
11118,Boogy Man,Assuming agent M is a tribute to Michael Jackson before that hbo doco came out
11119,Mork 666,"Why did it had to be a black woman? 
I hope this hasn't nothing to do with the PC bullshit that's been going on on Hollywood lately!!"
11120,Hermione Ginger,Hey its aslan
11121,Sarath Babu,"I thought this suppose to Be men in black, then why is there a lady"
11122,Kidswreckmovies,Nah
11123,Boogy Man,MIB - INTERRACIAL
11124,shivani sharma,Chris 😍😍😍
11125,cita kang,... still cant compare with saitama power .
11126,The Boogey Man,Thor and valkayre fans like here
11127,Omair Khan,"I know it is not relevant but I had watched Avengers End Game yesterday and Man oh Man its is the best movie in the history of Movies!
I cried 15 Times in the movie 15 Fucking Times!!!!"
11128,Pastæ The Spaggætti,"The trailer was the same Ctrl+C Ctrl+V thing and literally showed the whole movie (exaggeration with the intent of humor), but I'm still hyped for this movie!"
11129,Hitesh Purohit,*🇮🇳🇮🇳Who from india🇮🇳🇮🇳*
11130,RIOYT GAMING,BRING HIM *THANOS* !!!!!!
11131,Devakinandan,*I like this one*
